Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
980,1595,2215,2925,3535,4175,4915,5695,6310,6945,406,Wood
790,1495,2215,2980,3885,4565,5360,6170,7150,7810,407,Wood
790,1715,2720,3495,4580,5525,6215,6810,7790,8660,408,Wood
790,1545,2280,2980,3710,4570,5320,5925,6925,7965,409,Wood
900,1800,2595,3195,3745,4650,5585,6730,7495,8480,410,Wood
685,1435,1990,2750,3280,3970,4785,5540,6290,7400,411,Wood
790,1630,2295,3035,3670,4305,5035,5830,6655,7385,412,Wood
790,1705,2305,3065,3680,4550,5310,5950,6745,7955,413,Wood
890,1530,2290,3060,3610,4210,4860,5560,6275,7285,414,Wood
790,1585,2370,3150,4045,4845,5695,6395,7310,8220,415,Wood
755,1475,2235,2985,3850,4685,5660,6840,7480,8350,416,Wood
720,1740,2470,2975,3530,4135,4790,5495,6225,6780,417,Wood
790,1395,2120,2695,3670,4205,5215,6110,6920,7700,418,Wood
1000,2030,2780,3825,5085,6355,7045,8345,9295,10050,419,Wood
775,1540,2290,3070,3845,4565,5570,6470,7630,8450,420,Wood
720,1605,2340,3190,3785,4510,5160,5980,6685,7445,421,Wood
500,1250,2170,2755,3350,4000,4600,5225,5840,6480,422,Wood
1000,1705,2260,3050,3780,4390,5240,6040,7030,7670,423,Wood
735,1500,2245,3040,3930,4665,5485,6170,6960,7880,424,Wood
650,1385,2225,2760,3570,4390,5375,6230,7225,8225,425,Wood
750,1430,2215,2975,3775,4705,5545,6450,7330,8315,426,Wood
725,1465,2160,2940,3665,4505,5410,6220,6965,7900,427,Wood
790,1540,2255,2945,3675,4450,5170,5990,6855,7665,428,Wood
720,1555,2260,3070,4070,4980,6020,6850,7615,8435,429,Wood
745,1705,2395,3195,3985,4590,5180,5900,6770,7640,430,Wood
755,1615,2215,3110,3975,4860,5530,6320,6865,7465,431,Wood
685,1705,2460,3100,4030,5025,5875,6775,7780,8600,432,Wood
685,1585,2425,3365,4230,5025,5955,6875,7795,8600,433,Wood
830,1575,2360,3200,4180,4970,5725,6720,7540,8410,434,Wood
870,1595,2435,3495,4615,5775,6900,8110,9570,10750,435,Wood
500,1050,2030,3090,4300,5260,5765,6325,6915,7755,436,Wood
710,1275,1830,2585,3300,3945,4760,5665,6455,7380,437,Wood
870,1585,2330,3080,3735,4510,5340,6460,7335,8065,438,Wood
750,1360,2100,2835,3700,4475,5155,5930,6790,7850,439,Wood
900,1705,2425,3190,4105,4930,5625,6640,7540,8465,440,Wood
750,1520,2385,3245,4225,5000,5930,7120,7780,8810,441,Wood
750,1660,2370,2985,3765,4505,5250,5915,6640,7340,442,Wood
585,1110,1800,2820,3740,4500,5125,6070,6830,8050,443,Wood
790,1385,2305,3155,3750,4585,5380,6150,7070,8075,444,Wood
750,1440,2235,2940,3735,4465,5310,6105,6865,7620,445,Wood
1000,1810,2550,3560,4405,5195,6435,7280,8405,9625,446,Wood
810,1390,2225,3055,4130,5075,5840,6775,7865,9000,447,Wood
815,1575,2455,3215,4280,4860,5850,7150,8385,9230,448,Wood
900,1605,2110,2735,3775,4395,4940,5615,6340,6970,449,Wood
675,1470,2300,3095,3800,4640,5520,6360,7140,7930,450,Wood
720,1585,2380,2900,3880,4530,5265,6140,6960,7780,451,Wood
750,1475,2275,3010,3890,4705,5535,6400,7150,8080,452,Wood
790,1665,2315,2855,3410,4025,4690,5405,6085,6660,453,Wood
770,1330,2095,2950,3620,4540,5420,6280,7110,8210,454,Wood
610,1380,2130,2925,3630,4410,5170,6020,6865,7690,455,Wood
880,1755,2550,3195,4175,5315,6000,6605,7830,8950,456,Wood
735,1640,2465,2990,3975,4730,5850,7150,8510,9290,457,Wood
830,1585,2470,3430,4390,5480,6465,7310,8540,9545,458,Wood
1000,1650,2155,2725,3350,4010,4720,5530,6230,6780,459,Wood
685,1520,2400,3355,4360,5475,6710,7720,9190,10185,460,Wood
685,1520,2400,3355,4360,5475,6710,7720,9190,10185,461,Wood
630,1615,2180,3070,3985,4670,5510,6430,7270,8255,462,Wood
900,1740,2475,3225,4110,4835,5755,6690,7555,8325,463,Wood
970,1870,2605,3360,4385,5310,6530,7780,8560,9380,464,Wood
510,1015,1570,2175,2830,3535,4310,5350,6000,6600,465,Wood
790,1540,2305,3050,3810,4695,5500,6420,7335,8190,466,Wood
665,1510,2195,2920,3570,4400,5390,6490,7760,8975,467,Wood
500,1110,2150,2920,3435,4050,4655,5325,6045,6940,468,Wood
750,1540,2295,3065,3830,4695,5440,6385,7310,8290,469,Wood
