Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
900,1650,2600,3550,4500,5250,6050,6950,7900,8750,85,Horstmann
900,1700,2450,3300,4050,4850,5650,6250,7150,7850,86,Horstmann
500,1100,1600,2100,2600,3200,3800,4300,4800,5300,87,Horstmann
900,1800,2750,3650,4650,5400,6300,7200,8050,9050,88,Horstmann
850,1600,2250,3000,3600,4300,4900,5500,6150,6800,89,Horstmann
900,1900,2850,3700,4550,5400,6250,7200,8100,8850,90,Horstmann
750,1300,1800,2300,2800,3300,3800,4300,4800,5300,91,Horstmann
800,1650,2450,3300,4000,4650,5650,6300,7250,8150,92,Horstmann
900,1650,2350,3000,3650,4350,5050,5800,6600,7300,93,Horstmann
800,1650,2300,2950,3650,4450,5100,5750,6350,6950,94,Horstmann
900,1700,2400,3050,3950,4700,5450,6150,6900,7750,95,Horstmann
950,1450,2400,3400,4400,5150,5650,6150,6650,7150,96,Horstmann
800,1600,2450,2950,3600,4400,5200,5950,6600,7350,97,Horstmann
700,1450,2350,3300,4100,4900,5400,6300,7200,8050,98,Horstmann
850,1700,2350,3150,3950,4700,5550,6350,7050,7750,99,Horstmann
750,1500,2250,3050,3800,4550,5300,5950,6650,7450,100,Horstmann
900,1700,2650,3200,3700,4450,5150,5750,6700,7250,101,Horstmann
600,1350,2250,2750,3250,3750,4250,4750,5250,5750,102,Horstmann
600,1150,2150,3000,4000,5000,6000,6850,7750,8750,103,Horstmann
800,1400,2000,2750,3500,4200,4800,5600,6250,7150,104,Horstmann
800,1800,2600,3250,4000,4650,5200,5850,6800,7400,105,Horstmann
800,1600,2400,3100,3850,4600,5250,6050,6800,7550,106,Horstmann
750,1350,2000,2750,3300,4100,4800,5500,6300,7150,107,Horstmann
650,1550,2400,3200,3800,4650,5200,6200,6850,7600,108,Horstmann
750,1500,2250,3000,3550,4050,4550,5050,5550,6050,109,Horstmann
800,1450,2000,2950,3650,4250,4950,5450,6050,6550,110,Horstmann
900,1500,2200,2750,3650,4500,5450,6100,6900,7900,111,Horstmann
750,1700,2700,3700,4550,5550,6450,7450,8450,9450,112,Horstmann
800,1600,2400,3200,4050,4600,5400,5950,6650,7250,113,Horstmann
850,1350,2200,2900,3650,4150,4900,5750,6250,6950,114,Horstmann
700,1350,2050,2800,3600,4350,5150,5950,6700,7450,115,Horstmann
750,1450,2150,3050,3700,4500,5250,6050,6850,7650,116,Horstmann
800,1650,2400,3250,4000,4850,5650,6450,7150,8000,117,Horstmann
850,1800,2800,3800,4800,5700,6700,7550,8550,9550,118,Horstmann
800,1650,2550,3450,4350,5200,5950,6650,7450,8250,119,Horstmann
800,1500,2400,3300,3950,4600,5350,5900,6700,7300,120,Horstmann
700,1450,2000,2500,3250,4000,4750,5500,6150,6900,121,Horstmann
800,1550,2350,2900,3550,4300,5000,5700,6450,7200,122,Horstmann
800,1500,2250,2950,3700,4400,5150,5900,6600,7300,123,Horstmann
700,1650,2600,3550,4300,5150,6050,6600,7450,8200,124,Horstmann
850,1400,2100,2900,3600,4400,4950,5600,6350,7050,125,Horstmann
850,1550,2250,2900,3500,4200,4900,5550,6150,6800,126,Horstmann
700,1450,2150,2900,3600,4450,5200,6100,7000,8000,127,Horstmann
850,1800,2300,2800,3450,4000,4500,5000,5500,6000,128,Horstmann
750,1600,2350,2950,3600,4250,4900,5600,6300,6950,129,Horstmann
900,1450,2150,2650,3300,3900,4800,5450,6000,7000,130,Horstmann
850,1550,2350,3150,3800,4500,5250,5950,6650,7400,131,Horstmann
700,1500,2150,2750,3550,4200,4850,5350,6100,6650,132,Horstmann
650,1200,2000,2700,3650,4300,5050,5950,6650,7450,133,Horstmann
750,1600,2450,3300,4100,4900,5700,6400,7150,7950,134,Horstmann
800,1650,2150,2650,3400,3900,4400,4900,5400,5900,135,Horstmann
800,1550,2300,3050,3800,4450,5000,5700,6600,7350,136,Horstmann
750,1600,2600,3600,4350,5050,5700,6200,6700,7200,137,Horstmann
800,1650,2300,3050,3800,4300,5050,5750,6500,7050,138,Horstmann
850,1750,2500,3150,3900,4700,5600,6300,7150,8000,139,Horstmann
850,1550,2450,3400,4300,5100,6050,7000,7850,8800,140,Horstmann
500,1250,1950,2700,3700,4250,5150,5850,6550,7500,141,Horstmann
750,1450,2050,2950,3500,4100,4600,5150,5700,6250,142,Horstmann
650,1250,1950,2550,3400,4150,4850,5550,6250,6950,143,Horstmann
700,1400,2300,3050,3850,4550,5400,6250,7050,7950,144,Horstmann
700,1500,2400,3300,4150,5000,5900,6800,7650,8550,145,Horstmann
750,1500,2050,2950,3750,4600,5400,6250,7000,7800,146,Horstmann
900,1450,2100,2650,3150,3750,4400,5300,6050,6700,147,Horstmann
850,1600,2250,3000,3750,4400,5050,5600,6250,7050,148,Horstmann
750,1600,2200,2700,3200,3700,4250,4850,5400,6000,149,Horstmann
850,1500,2250,3000,3850,4600,5350,6100,6850,7600,150,Horstmann
850,1700,2500,3300,3950,4600,5150,5700,6250,6750,151,Horstmann
700,1700,2400,3250,3800,4500,5400,6250,6950,7850,152,Horstmann
800,1800,2550,3250,4050,4850,5750,6600,7450,8250,153,Horstmann
900,1650,2550,3300,4050,4850,5650,6400,7150,7950,154,Horstmann
550,1250,2050,2850,3500,4150,4800,5450,6200,7050,155,Horstmann
700,1600,2100,3000,3750,4750,5500,6150,6900,7700,156,Horstmann
700,1300,2050,2750,3550,4300,4850,5400,5900,6450,157,Horstmann
700,1500,2500,3500,4400,5400,6350,7300,8250,9250,158,Horstmann
750,1400,2300,3050,3700,4450,5250,6000,6750,7450,159,Horstmann
750,1250,2050,3050,4050,5050,6050,7000,7600,8600,160,Horstmann
700,1400,2150,3000,3850,4600,5300,5950,6700,7550,161,Horstmann
800,1550,2250,2900,3400,3900,4400,4900,5400,5950,162,Horstmann
