Wins_15,Wins_30,Wins_45,Wins_60,Wins_75,Wins_90,Wins_105,Wins_120,Wins_135,Wins_150,Subj,Study
1400,2550,3800,5250,6300,7600,8900,10400,11850,13050,31,Steingroever2011
1400,2750,4250,5750,7100,8250,9500,10600,11500,12250,32,Steingroever2011
1100,2200,3500,4650,5750,6950,8050,9250,10600,11500,33,Steingroever2011
1150,1900,2700,3450,4200,4950,5750,6500,7250,8000,34,Steingroever2011
1250,2750,4250,5750,7250,8700,10200,11700,13200,14600,35,Steingroever2011
1300,2350,3550,4600,5650,6550,8000,9150,10500,11850,36,Steingroever2011
1000,2350,3450,4500,5700,6900,7700,8450,9200,10000,37,Steingroever2011
950,1700,2450,3200,3950,4700,5450,6200,6950,7700,38,Steingroever2011
1350,2500,3600,4800,5900,7100,8050,9050,10000,10800,39,Steingroever2011
1200,2350,3600,4700,5800,7150,8350,9500,10600,11850,40,Steingroever2011
1150,2400,3600,4700,6050,7550,8600,9500,10400,11450,41,Steingroever2011
1350,2650,4000,5100,6400,7400,8150,8900,9650,10400,42,Steingroever2011
1150,2250,3350,4500,5600,6750,7750,8800,9950,11000,43,Steingroever2011
1050,2300,3500,4550,5700,7000,8100,9150,9900,10650,44,Steingroever2011
1350,2500,3700,5050,6400,7850,9100,10250,11450,12800,45,Steingroever2011
750,1500,2250,3000,3850,4600,5350,6300,7050,7800,46,Steingroever2011
1000,2000,3000,4250,5350,6450,7450,8500,9600,10800,47,Steingroever2011
1100,2300,3350,4500,5550,6700,7850,8900,10000,11100,48,Steingroever2011
1250,2500,3850,5100,6400,7600,8650,9900,10950,12100,49,Steingroever2011
1300,2600,4050,5300,6500,7750,9050,10100,11200,12300,50,Steingroever2011
1400,2250,3500,4550,5700,6900,8000,9150,10250,11250,51,Steingroever2011
1000,2200,3450,4650,5450,6200,6950,7700,8450,9200,52,Steingroever2011
1150,2500,3850,5150,6150,7250,8350,9200,10350,11400,53,Steingroever2011
1250,2400,3350,4600,5750,7050,8150,9300,10450,11450,54,Steingroever2011
1100,2050,3050,4100,4900,5850,6600,7350,8100,8850,55,Steingroever2011
1300,2800,4300,5700,7100,8150,9550,10450,11550,13000,56,Steingroever2011
750,1500,2250,3000,3750,4500,5250,6000,6750,7500,57,Steingroever2011
1100,2450,3550,4850,6000,7250,8550,9800,10550,11800,58,Wetzels
1150,2250,3300,4400,5500,6600,7600,8750,9850,11000,59,Wetzels
1200,2250,3200,3950,4700,5450,6200,6950,7700,8450,60,Wetzels
1050,2200,3400,4550,5750,6950,8050,9150,10300,11550,61,Wetzels
1150,2450,3600,4750,5800,7000,8350,9650,10900,12200,62,Wetzels
1400,2650,3900,5000,6150,6950,7850,8600,9400,10200,63,Wetzels
1100,1950,2850,3800,4900,5800,6700,7600,8500,9350,64,Wetzels
1250,2300,3350,4500,5700,6850,8100,9400,10650,12050,65,Wetzels
1100,2300,3500,4650,5750,6900,8050,9000,10050,11100,66,Wetzels
1050,2450,3550,4750,5850,7000,8100,9250,10250,11150,67,Wetzels
1050,2300,3550,4700,5900,7050,8450,9600,10750,11850,68,Wetzels
750,1500,2550,3650,4700,5650,6550,7450,8300,9200,69,Wetzels
1400,2700,3850,4900,5850,6750,7500,8250,9000,9750,70,Wetzels
1000,1950,2750,3500,4250,5000,5900,6650,7400,8400,71,Wetzels
1350,2800,4200,5450,6650,7600,8350,9100,9850,10600,72,Wetzels
1500,2600,3450,4600,5900,7250,8750,9950,10900,11900,73,Wetzels
1200,2600,3500,4800,5550,6300,7250,8000,9150,10200,74,Wetzels
1150,2300,3500,4750,5750,6950,7850,8750,9500,10250,75,Wetzels
1300,2300,3300,4400,5500,6600,7650,8950,9900,11100,76,Wetzels
1300,2450,3600,4600,5600,6600,7600,8500,9400,10300,77,Wetzels
1100,2350,3350,4550,5700,6900,7900,9150,9900,10650,78,Wetzels
1300,2400,3600,4550,5450,6350,7250,8050,8900,9750,79,Wetzels
1100,2550,3850,5100,5850,6600,7350,8100,8850,9600,80,Wetzels
1100,2100,3300,4600,6050,7300,8750,10000,11300,12600,81,Wetzels
900,1950,3350,4350,5800,6850,7850,9000,10100,11250,82,Wetzels
1100,2300,3450,4600,5800,6950,8100,9300,10400,11650,83,Wetzels
1250,2400,3750,4950,6350,7600,8800,9850,10950,12100,84,Wetzels
1250,2350,3500,4700,5700,6700,7850,8950,10000,10900,85,Wetzels
1050,1800,2550,3300,4050,4800,5550,6300,7050,7800,86,Wetzels
1050,2050,2800,3950,5350,6850,7900,8850,9750,11100,87,Wetzels
1200,2450,3650,4750,5900,6950,8150,9100,10300,11450,88,Wetzels
1100,2400,3600,4800,5900,7000,8000,8750,9500,10350,89,Wetzels
1250,2500,3550,4550,5700,6700,7550,8350,9150,9900,90,Wetzels
1050,2150,3100,4150,5000,6200,7200,8400,9550,10500,91,Wetzels
1150,2350,3700,5100,6400,7800,9300,10250,11300,12550,92,Wetzels
1350,2300,3550,4850,5900,7200,7950,8800,9550,10300,93,Wetzels
1000,2100,3500,4250,5550,7000,8350,9750,11200,12150,94,Wetzels
950,2000,3100,4200,5000,5800,7000,7750,8550,9300,95,Wetzels
950,1900,2800,3750,4700,5600,6450,7450,8450,9350,96,Wetzels
1150,2250,3250,4400,5450,6500,7450,8500,9400,10250,97,Wetzels
1250,2700,4050,5550,6900,8250,9650,10800,11900,13250,98,Wetzels
