Wins_15,Wins_30,Wins_45,Wins_60,Wins_75,Wins_90,Wins_105,Wins_120,Wins_135,Wins_150,Subj,Study
1150,2500,3700,4850,5950,7200,8300,9400,10500,11650,1,Steingroever2011
1300,2600,3900,5050,6250,7250,8600,9800,11000,12350,2,Steingroever2011
1000,1850,3250,4100,5500,6350,7450,8700,9450,10200,3,Steingroever2011
1100,2400,3600,4400,5150,5900,6650,7400,8200,8950,4,Steingroever2011
900,2000,2750,3600,4450,5200,5950,6700,7450,8200,5,Steingroever2011
1300,2650,4100,5250,6300,7550,8600,9750,11050,12200,6,Steingroever2011
1050,2150,2900,4100,5450,6500,7250,8000,8800,10300,7,Steingroever2011
750,1500,2250,3000,3750,4500,5250,6000,6750,7500,8,Steingroever2011
1450,2950,4000,5200,6350,7450,8600,9650,10850,11750,9,Steingroever2011
1150,2150,2900,3650,4400,5150,5900,6650,7400,8150,10,Steingroever2011
1400,2900,3700,4450,5250,6250,7000,7750,8500,9250,11,Steingroever2011
950,2050,3250,4750,6150,7400,8850,10000,11000,12050,12,Steingroever2011
1250,2400,3800,5150,5900,6650,7400,8150,8900,9650,13,Steingroever2011
1300,2750,4000,5500,6900,8150,9500,11000,12300,13550,14,Steingroever2011
1400,2700,3950,5100,6300,7400,8450,9650,10850,11900,15,Steingroever2011
950,2400,3400,4450,5350,6150,6900,7650,8400,9150,16,Steingroever2011
1150,2450,3750,5150,6050,7550,8650,10050,11100,12050,17,Steingroever2011
1100,2200,3300,4450,5650,6800,7950,9100,10200,11300,18,Steingroever2011
750,1900,3150,4200,5250,6450,7500,8500,9600,10350,19,Steingroever2011
1500,2500,3500,4900,5650,6550,7550,8500,9500,10400,20,Steingroever2011
1300,2400,3150,3900,4650,5400,6150,6900,7650,8650,21,Steingroever2011
1050,2250,3350,4550,5800,7000,8150,9250,10450,11250,22,Steingroever2011
1250,2700,4000,5100,6250,7550,8900,10150,11400,12750,23,Steingroever2011
1250,2750,4150,5350,6800,7650,8450,9500,10350,11100,24,Steingroever2011
1100,2250,3400,4500,5500,6550,7600,8550,9500,10650,25,Steingroever2011
1400,2350,3750,4850,6150,7350,8500,9750,11100,12450,26,Steingroever2011
1350,2700,3600,4350,5100,5850,6600,7350,8100,8850,27,Steingroever2011
1100,2400,3800,5250,6450,7500,8700,10100,11350,12500,28,Steingroever2011
1250,2750,4250,5750,7250,8750,10250,11750,13250,14750,29,Steingroever2011
1250,2550,3950,5050,6000,6850,7650,8950,9850,10650,30,Steingroever2011
