Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-50,-1650,-2150,-2550,-4050,-5600,-6900,-7100,-7750,-7750,67,Horstmann
-1550,-2350,-3600,-5350,-5350,-5400,-6000,-6900,-7200,-7450,68,Horstmann
-1250,-1500,-1750,-3000,-3250,-3500,-3750,-4000,-4250,-4500,69,Horstmann
-1750,-2500,-2900,-4200,-5500,-6050,-6100,-6400,-6450,-6950,70,Horstmann
-400,-2100,-2150,-4150,-4800,-4850,-5250,-7100,-7500,-9250,71,Horstmann
-1900,-2100,-2250,-2250,-2600,-2850,-3000,-3250,-3500,-3700,72,Horstmann
-900,-2450,-2650,-4150,-4500,-5150,-5700,-5950,-6500,-6800,73,Horstmann
-650,-1950,-2250,-2500,-2950,-3200,-4450,-4450,-4700,-4950,74,Horstmann
-1800,-3350,-3350,-3750,-3750,-5650,-5900,-7150,-7750,-8150,75,Horstmann
-500,-2250,-2250,-3050,-4300,-5800,-5850,-6450,-8000,-8000,76,Horstmann
-200,-1750,-2000,-3250,-4800,-4800,-6050,-6650,-6900,-8450,77,Horstmann
-1700,-1850,-2100,-2350,-2350,-2600,-2850,-3100,-3100,-5850,78,Horstmann
-350,-700,-2400,-2950,-4800,-4900,-5200,-5750,-7550,-7700,79,Horstmann
-700,-2250,-2550,-3900,-4100,-4150,-4700,-6100,-6750,-6800,80,Horstmann
-250,-600,-2350,-3650,-5300,-5550,-5650,-6950,-7700,-7700,81,Horstmann
-1600,-1600,-2100,-2750,-4400,-5900,-6550,-7000,-7100,-8400,82,Horstmann
-1650,-1950,-2450,-3750,-4300,-4350,-4750,-5100,-6450,-6550,83,Horstmann
-600,-2350,-3650,-3950,-4200,-4450,-4450,-4700,-5950,-6200,84,Horstmann
-1500,-2200,-3450,-4700,-4700,-6200,-7450,-7450,-8700,-9950,85,Horstmann
-200,-1700,-3000,-3900,-4500,-5900,-5900,-7200,-7650,-7950,86,Horstmann
-250,-1950,-1950,-2450,-2450,-2900,-3500,-3750,-4000,-4250,87,Horstmann
-2050,-2500,-4050,-4450,-6200,-6850,-7400,-9150,-9600,-11500,88,Horstmann
-1700,-2350,-2500,-3250,-3700,-5050,-5400,-5550,-5900,-7200,89,Horstmann
-600,-2150,-3550,-3850,-5100,-6600,-6900,-8450,-9950,-10150,90,Horstmann
-1500,-2050,-2300,-2600,-2800,-3100,-3300,-3550,-3800,-4100,91,Horstmann
-450,-2350,-3850,-3900,-4400,-5050,-6300,-6550,-7150,-7950,92,Horstmann
-650,-2150,-2600,-2950,-3500,-5150,-5600,-5650,-6350,-6500,93,Horstmann
-200,-2300,-2700,-2800,-2900,-4400,-4500,-5150,-5250,-6050,94,Horstmann
-550,-2350,-2600,-3150,-5150,-5200,-5200,-6500,-8000,-8250,95,Horstmann
-1700,-1800,-2400,-3950,-5200,-5550,-6050,-6150,-6400,-6650,96,Horstmann
-750,-2100,-3350,-3600,-3850,-4300,-4750,-6100,-7350,-7600,97,Horstmann
-1550,-1950,-2300,-3550,-3950,-5850,-5850,-6100,-8100,-8350,98,Horstmann
