Losses_15,Losses_30,Losses_45,Losses_60,Losses_75,Losses_90,Losses_105,Losses_120,Losses_135,Losses_150,Subj,Study
-1100,-3300,-3800,-5700,-6400,-9150,-9450,-9750,-10500,-12200,1,Steingroever2011
-1850,-2350,-4050,-5500,-6000,-7050,-9050,-9950,-12100,-13950,2,Steingroever2011
-1800,-2750,-4050,-4300,-5550,-5800,-7900,-8800,-9300,-9300,3,Steingroever2011
-700,-3000,-3950,-4200,-4700,-4950,-5450,-5700,-6450,-6750,4,Steingroever2011
-1800,-2500,-3250,-3800,-4300,-4800,-5050,-5550,-5800,-6300,5,Steingroever2011
-900,-3000,-5150,-6700,-6750,-7450,-8100,-10300,-12750,-13700,6,Steingroever2011
-550,-2100,-2300,-2400,-5600,-7400,-7700,-8200,-8600,-9850,7,Steingroever2011
-450,-750,-1200,-1500,-1950,-2250,-2600,-3000,-3400,-3750,8,Steingroever2011
-1300,-4500,-4650,-5950,-6800,-8450,-8850,-9350,-11400,-11800,9,Steingroever2011
-350,-2450,-3000,-3350,-3750,-4150,-4500,-4950,-5250,-5600,10,Steingroever2011
-1450,-3800,-4050,-4550,-4800,-6550,-6800,-7300,-7550,-7800,11,Steingroever2011
-1750,-2250,-3900,-5400,-6650,-8200,-9800,-11150,-12700,-12950,12,Steingroever2011
-2100,-3750,-4500,-5750,-6000,-6500,-6750,-7250,-7750,-8000,13,Steingroever2011
-1600,-3600,-3950,-5650,-7150,-9750,-11400,-12850,-14450,-15800,14,Steingroever2011
-1500,-3300,-3800,-6650,-6950,-9050,-9400,-9950,-11500,-11950,15,Steingroever2011
-450,-2950,-3350,-5400,-5700,-6000,-6450,-6850,-7200,-7650,16,Steingroever2011
-750,-2150,-4200,-5500,-5850,-7700,-9450,-10800,-11850,-12200,17,Steingroever2011
-1800,-2100,-2600,-4550,-6050,-7800,-7850,-9950,-9950,-10200,18,Steingroever2011
-300,-850,-3950,-4300,-6100,-6650,-7100,-8850,-9500,-9800,19,Steingroever2011
-2500,-3400,-4000,-5050,-5500,-5750,-7250,-7500,-8350,-8800,20,Steingroever2011
-2500,-3350,-3850,-4200,-4550,-4950,-5300,-5700,-6050,-6350,21,Steingroever2011
-1850,-2300,-3950,-4250,-6600,-6750,-9000,-10550,-11100,-11750,22,Steingroever2011
-2150,-2850,-4750,-6250,-6500,-9150,-10400,-11650,-13150,-14400,23,Steingroever2011
-1750,-3000,-4300,-6350,-8100,-9000,-9300,-11000,-11400,-11700,24,Steingroever2011
-1450,-1950,-2950,-4500,-5000,-5700,-7600,-7800,-8200,-10450,25,Steingroever2011
-1550,-3500,-4800,-5250,-7000,-7300,-8850,-10750,-12450,-13950,26,Steingroever2011
-1700,-4650,-4900,-5300,-5650,-6050,-6500,-6800,-7150,-7550,27,Steingroever2011
-500,-3250,-3450,-6000,-6550,-8450,-9700,-12700,-12950,-14750,28,Steingroever2011
-1900,-4400,-4400,-8150,-9400,-10650,-13150,-14400,-16900,-18150,29,Steingroever2011
-450,-3000,-4850,-5150,-5750,-6000,-6550,-9400,-9450,-9950,30,Steingroever2011
-1850,-2500,-5150,-6650,-7250,-9000,-10400,-12250,-13200,-15250,31,Steingroever2011
-2800,-3150,-5650,-6900,-8150,-9900,-11450,-13200,-13400,-13800,32,Steingroever2011
-1850,-2450,-3050,-4750,-4900,-7300,-7750,-9850,-11250,-12950,33,Steingroever2011
-1850,-2250,-2650,-3000,-3300,-3700,-4100,-4500,-4850,-5200,34,Steingroever2011
-2450,-4100,-5350,-7850,-9100,-10350,-12850,-15350,-16600,-18800,35,Steingroever2011
-1300,-3300,-3950,-4700,-5000,-6550,-8050,-10200,-10250,-11650,36,Steingroever2011
-1750,-3050,-3250,-3900,-4600,-6150,-6300,-6800,-7200,-8700,37,Steingroever2011
