Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-150,-1400,-3300,-3550,-5800,-6200,-6600,-9150,-9425,-10125,388,Wood
-1250,-2900,-2950,-4750,-6750,-7100,-9550,-10500,-13500,-14275,389,Wood
0,-1450,-1900,-2500,-2625,-2950,-3450,-3800,-5975,-6325,390,Wood
-250,-300,-1550,-1975,-2275,-4150,-4150,-4500,-4925,-7075,391,Wood
-200,-1450,-3000,-3600,-3825,-4200,-6600,-7425,-7575,-8375,392,Wood
-50,-550,-800,-2750,-3475,-5250,-5575,-6050,-8700,-9025,393,Wood
-450,-3200,-3450,-3500,-4050,-4250,-4900,-5350,-7500,-7675,394,Wood
-50,-1300,-3050,-3400,-3900,-6275,-6375,-9000,-9475,-9475,395,Wood
-200,-200,-1750,-2300,-4450,-4875,-5275,-5700,-6025,-8400,396,Wood
-200,-700,-1000,-2900,-3750,-5750,-7775,-8400,-9250,-9750,397,Wood
-200,-550,-800,-1750,-3375,-5425,-5525,-7650,-8400,-9350,398,Wood
0,-1450,-1850,-3700,-3800,-4300,-4725,-5000,-5325,-5600,399,Wood
-150,-500,-750,-2950,-4500,-4875,-7425,-7550,-7850,-8075,400,Wood
-150,-1450,-2050,-3750,-3800,-5875,-6175,-6500,-8850,-11100,401,Wood
-200,-250,-1850,-2400,-4250,-5000,-5800,-6175,-6675,-7275,402,Wood
-200,-700,-1000,-2675,-3100,-4875,-5250,-7600,-7925,-8500,403,Wood
-200,-1750,-3300,-5300,-6150,-6425,-6725,-7175,-7850,-8500,404,Wood
-200,-550,-2050,-2400,-3025,-4875,-5275,-5650,-6175,-8600,405,Wood
-650,-700,-1250,-2550,-2825,-3525,-3850,-5700,-5850,-6050,406,Wood
-150,-550,-1850,-3600,-3600,-5925,-5950,-6350,-8675,-8950,407,Wood
-150,-1750,-3250,-5250,-5850,-6500,-8750,-9075,-9575,-10200,408,Wood
-150,-500,-2050,-2250,-3900,-4525,-6675,-6975,-7575,-9700,409,Wood
-150,-1900,-2200,-4000,-4325,-4775,-6550,-8900,-9525,-9775,410,Wood
-50,-300,-650,-2325,-2350,-2825,-3350,-5300,-6000,-8000,411,Wood
-150,-500,-2000,-2600,-3025,-3375,-5250,-6025,-6475,-6500,412,Wood
-150,-1750,-2000,-3750,-4025,-4575,-6825,-7175,-7525,-9525,413,Wood
-450,-750,-1400,-2100,-2375,-2675,-3000,-3350,-3900,-6925,414,Wood
-150,-500,-2050,-2700,-4500,-6725,-7075,-7150,-7425,-9750,415,Wood
-150,-200,-2050,-3550,-3825,-5825,-5875,-7925,-8550,-8550,416,Wood
-200,-1300,-2700,-3000,-3275,-3575,-3900,-4250,-4625,-4900,417,Wood
-150,-250,-1800,-1925,-3100,-3275,-5450,-7475,-8200,-8300,418,Wood
-1250,-2750,-4550,-5050,-7050,-7250,-9750,-10050,-12900,-13275,419,Wood
-150,-500,-1050,-2950,-3625,-5425,-7175,-7725,-10250,-10300,420,Wood
-200,-1450,-1500,-3550,-3875,-3975,-6250,-6650,-6775,-7175,421,Wood
-50,-450,-1750,-2100,-2425,-3000,-3450,-3600,-3900,-4475,422,Wood
-450,-1750,-2050,-2300,-4100,-4425,-5225,-7300,-8075,-8175,423,Wood
-200,-600,-1150,-2850,-3975,-4375,-6225,-6575,-8475,-9100,424,Wood
-50,-550,-2050,-2200,-2925,-3625,-5575,-7950,-8425,-8750,425,Wood
-50,-250,-1900,-2150,-4250,-4975,-6875,-7350,-7725,-10450,426,Wood
-150,-550,-800,-2650,-3125,-4975,-5525,-6250,-6825,-9250,427,Wood
-150,-500,-1850,-2400,-4025,-4375,-4450,-6950,-7100,-7175,428,Wood
-200,-200,-2050,-3750,-5550,-5800,-8425,-8875,-9175,-9850,429,Wood
-450,-1750,-1800,-4050,-4050,-4775,-5100,-6950,-8100,-8175,430,Wood
0,-1500,-1850,-2550,-5050,-5200,-5425,-6400,-6575,-7175,431,Wood
-50,-950,-2600,-2750,-4875,-5700,-8150,-8525,-9125,-9450,432,Wood
-50,-550,-2050,-4500,-5050,-5700,-7875,-8875,-9125,-9450,433,Wood
0,-500,-2000,-2650,-5050,-5300,-7600,-8425,-9150,-9400,434,Wood
-150,-250,-1850,-4200,-6750,-7050,-9250,-11500,-11500,-14800,435,Wood
-250,-525,-1775,-3275,-5025,-5925,-6175,-6350,-6750,-9100,436,Wood
-150,-450,-725,-1025,-1375,-1750,-3350,-4850,-5425,-7525,437,Wood
-150,-550,-2050,-2600,-4525,-4625,-5525,-8250,-8325,-8625,438,Wood
